Roles,Spy,Result,Votes,Incorrect Votes
"['篮球', '排球', '篮球', '篮球']",2,2,"{1: 1, 2: 0, 3: 0, 4: 3}",3
"['篮球', '篮球', '篮球', '羽毛球']",4,1,"{1: 1, 2: 1, 3: 1, 4: 1}",2
"['老虎', '老虎', '豹子', '老虎']",3,0,"{1: 1, 2: 0, 3: 2, 4: 1}",1
"['月亮', '地球', '月亮', '月亮']",2,0,"{1: 0, 2: 3, 3: 1, 4: 0}",0
"['熊', '猴子', '熊', '熊']",2,0,"{1: 1, 2: 3, 3: 0, 4: 0}",0
"['熊', '熊', '熊', '狮子']",4,0,"{1: 0, 2: 1, 3: 1, 4: 2}",1
"['排球', '篮球', '排球', '排球']",2,0,"{1: 0, 2: 3, 3: 1, 4: 0}",0
"['篮球', '篮球', '网球', '篮球']",3,2,"{1: 1, 2: 0, 3: 1, 4: 2}",2
"['月亮', '火星', '月亮', '月亮']",2,0,"{1: 0, 2: 3, 3: 0, 4: 1}",0
"['月亮', '火星', '月亮', '月亮']",2,0,"{1: 0, 2: 3, 3: 1, 4: 0}",0
